20
1,Essay,Gagal Move On Team,Gilang Pratama,700
2,Poster Infografis,Ridiculous Rangers,Edo Santoso,592
3,Essay,Open PO,Hanifah Ramadhani,458
4,Poster Infografis,Joyful Jollys,Candra Wijaya,437
5,BPC,The Laughing Lions,Mahendra Wibowo,532
6,Essay,Ngakak Ninja,Oki Pratama,402
7,BPC,Lestariomukti,Joko Widodo,937
8,BPC,The Hilarity Horde,Kiki Fitriani,830
9,Poster Infografis,Gembira Generation,Siska Dewanti,787
10,BPC,Mbohlah,Indah Purnama,697
11,Essay,Ketawa Lestari,Fika Nurlita,739
12,Data Mining,Merah Putih Berkibar,Edi Kurniawan,524
13,BPC,Crazy Jokes Squad,Gita Permata,671
14,Data Mining,Timur Berjaya,Umi Kurniawati,888
15,BPC,Ngakak Nomads,Candra Wijaya,733
16,Poster Infografis,Peleton Cangkruk,Tono Budiman,777
17,Essay,ITS Sukolilo Pride,Rifan Surya,998
18,Poster Infografis,Tim J One,Tegar Ramadhan,540
19,BPC,Ketawa Bahagia,Tono Budiman,973
20,Data Mining,Nusantara Gemilang,Bunga Maulidina,768
21,Data Mining,Dahlah Capek,Fitria Hidayati,805
22,Essay,Lucky Hope,Kiki Prasetyo,446
23,Essay,Chaos Commandos,Oki Permadi,883
24,Essay,Tim Hamdalah,Galih Putra,697
25,BPC,Happy Haha Heroes,Indra Saputra,617
26,BPC,Tim Turu,Rizal Surya,996
27,Data Mining,The Laughing Larks,Dita Susanti,880
28,Essay, Langit Biru,Miftahul Hidayah,604
29,Essay,Ridiculous Revelers,Mira Rahayu,763
30,Essay,Ketawa Kingdom,Lusi Rahmawati,966
31,Data Mining,Gokil Gang,Dini Cahyani,511
32,Poster Infografis,Waduh Buset,Umar Wibowo,583
33,BPC,Deadliner,Nando Pratama,496
34,Poster Infografis,Giggle Guardians,Putri Aulia,743
35,Essay,Ngakak Empire,Ola Permata,888
36,Essay,Gokil Express,Fitri Handayani,865
37,Essay,Garuda Bersinar,Sinta Dewi,564
38,Poster Infografis,Humor Heroes,Santi Indah,837
39,Data Mining,Penikmat Senja,Nadiyah Pratiwi,947
40,Poster Infografis,Mythical Medhok,Siti Nurjanah,452
41,Essay,Laughing Titans,Kunto Prasetyo,749
42,BPC,The Jolly Jokesmiths,Lulu Susanti,759
43,BPC,Generasi Gokil,Bunga Anggreini,778
44,Poster Infografis,Nova Nomads,Indri Lestari,658
45,Essay,Ceria Bersama,Koko Prasetyo,797
46,Poster Infografis,Velocity Vortex,Nanda Putra,895
47,BPC,Sapu Sada,Andi Setiawan,682
48,BPC,The Giggling Giants,Eka Pratiwi,776
49,Poster Infografis,Restu Ortu,Edy Suryanto,973
50,Data Mining,Grin Generals,Hana Susanti,751
51,Data Mining,Happy Hysterics,Jono Susanto,619
52,Data Mining,Alpha Beta,Putri Ayu,561
53,BPC,Kebanggaan,Tuti Kartika,829
54,BPC,Guffaw Geniuses,Mira Dewi,936
55,Poster Infografis,Hilarious Harmony,Umi Rahmawati,556
56,Data Mining,Gacoan,Lina Susanto,741
57,Data Mining,Cikrak Semesta,Bella Pratiwi,828
58,Poster Infografis,The Chuckle Champions,Rudi Suryanto,956
59,Poster Infografis,Sidoarjo Champ,Hani Suryani,699
60,Data Mining,Sing Penting Lulus,Irfan Santoso,984
61,Essay,Tim Astajim,Dini Ramadhani,937
62,Data Mining,HaHa Brigade,Bunga Citra,421
63,BPC,Wacky Wizards,Jihan Maulida,641
64,Essay,Smiling Squad,Joko Saputro,522
65,Essay,Tim A6,Putri Permata,800
66,Essay,Ngakak Nomads,Rian Saputra,846
67,Data Mining,Hilarious Harmony,Putri Maharani,721
68,BPC,Jovial Jesters,Agus Wibowo,771
69,BPC,Doa Ibu,Hanum Wulandari,529
70,Data Mining,Mentari Bersinar,Nani Suryani,616
71,Data Mining,Jolly Jokers,Umi Rahayu,612
72,Data Mining,Bakwan Malang,Fira Ningsih,625
73,BPC,Ngapak Squad,Oka Permadi,965
74,Poster Infografis,Huhuhu legend,Gani Putra,421
75,Data Mining,Grinning Gurus,Chrisanto Wijaya,489
76,Poster Infografis,Tim Hore,Lina Puspita,941
77,Poster Infografis,Hilarious Havoc,Adi Firmansyah,710
78,Poster Infografis,Komedi Nusantara,Candra Pratama,620
79,Poster Infografis,Merapi Unggul,Dodi Saputra,884
80,Data Mining,Gen Z,Agni Setiawan,914
